Name,Genre,Publisher,Year,Global_Sales,Decade,FranchiseTag
ms saga a new dawn,roleplaying,namco bandai games,2005,0.05,2000,0
mtv celebrity deathmatch,fighting,gotham games,2003,0.97,2000,0
mtv music generator,misc,codemasters,1999,0.47,1990,0
mtv music generator 2,misc,codemasters,2001,0.15,2000,1
mtv music generator 3 this is the remix,misc,codemasters,2004,0.22000000000000003,2000,1
mtv sports pure ride,sports,thq,2000,0.12,2000,0
mtx mototrax,racing,activision,2004,0.41000000000000003,2000,0
mucha lucha mascaritas of the lost code,fighting,ubisoft,2003,0.07,2000,0
muchi muchi pork  pink sweets,shooter,cave,2011,0.02,2010,0
mugen keitai disgaea,roleplaying,tecmo koei,2007,0.09,2000,0
mugen no frontier super robot taisen og saga exceed,roleplaying,namco bandai games,2010,0.12,2010,0
mugen souls,roleplaying,nippon ichi software,2012,0.16,2010,0
mugen souls z,roleplaying,nippon ichi software,2013,0.07,2010,0
muppet racemania,racing,sony computer entertainment,1999,0.15,1990,0
muppets party cruise,misc,tdk mediactive,2003,0.08,2000,0
murakumo renegade mech pursuit,shooter,from software,2002,0.11,2000,0
muramasa the demon blade,roleplaying,rising star games,2009,0.87,2000,0
murder in venice,adventure,city interactive,2011,0.1,2010,0
murder she wrote,adventure,focus home interactive,2009,0.05,2000,0
murdered soul suspect,action,square enix,2014,0.8,2010,0
musashi samurai legend,roleplaying,atari,2005,0.15,2000,0
mushi bugyou,action,namco bandai games,2013,0.01,2010,0
mushihimesama,action,cave,2012,0.02,2010,0
mushihimesama futari ver 15,shooter,cave,2009,0.03,2000,0
mushishi amefuru sato,simulation,marvelous interactive,2008,0.02,2000,0
mushroom men rise of the fungi,action,southpeak games,2008,0.11,2000,0
mushroom men the spore wars,action,southpeak games,2008,0.19,2000,0
music maker,misc,magix,2001,0.31,2000,0
music maker rockstar,misc,magix,2009,0.04,2000,0
musou orochi z,action,tecmo koei,2009,0.23,2000,0
musou tourou,strategy,nippon ichi software,2009,0.01,2000,0
muvluv alternative,simulation,5pb,2012,0.01,2010,0
muvluv alternative total eclipse,simulation,5pb,2013,0.03,2010,0
muvluv double pack,adventure,5pb,2016,0.02,2010,0
mvp 06 ncaa baseball,sports,electronic arts,2006,1.09,2000,0
mvp baseball,sports,electronic arts,2005,0.21,2000,0
mvp baseball 2003,sports,electronic arts,2003,1.24,2000,0
mvp baseball 2004,sports,electronic arts,2004,2.19,2000,0
mvp baseball 2005,sports,electronic arts,2005,2.81,2000,0
mx 2002 featuring ricky carmichael,racing,thq,2001,0.8500000000000001,2000,0
mx superfly featuring ricky carmichael,racing,thq,2002,0.47000000000000003,2000,0
mx unleashed,racing,thq,2004,2.36,2000,0
mx vs atv alive,racing,thq,2011,1.03,2010,0
mx vs atv reflex,racing,thq,2009,2.02,2000,0
mx vs atv supercross,racing,nordic games,2014,0.11,2010,0
mx vs atv supercross encore,sports,nordic games,2015,0.08,2010,0
mx vs atv unleashed,racing,thq,2005,1.4300000000000002,2000,0
mx vs atv unleashed on the edge,racing,thq,2006,0.69,2000,0
mx vs atv untamed,racing,thq,2007,2.64,2000,0
mx world tour featuring jamie little,racing,play it,2005,0.2,2000,0
mxgp 2,racing,milestone srl,2016,0.14,2010,1
mxrider,racing,atari,2001,0.34,2000,0
my amusement park,misc,scholastic inc,2010,0.07,2010,0
my animal centre,simulation,deep silver,2009,0.03,2000,0
my baby 3  friends,simulation,majesco entertainment,2010,0.16,2010,1
my baby boy,simulation,nobilis,2008,0.34,2000,0
my baby first steps,simulation,southpeak games,2009,0.46,2000,0
my baby girl,simulation,nobilis,2008,0.77,2000,0
my ballet studio,simulation,505 games,2009,0.05,2000,0
my body coach,sports,big ben interactive,2009,0.05,2000,0
my boyfriend,simulation,dtp entertainment,2008,0.11,2000,0
my chinese coach,misc,ubisoft,2008,0.12,2000,0
my doitall,misc,tomy corporation,2009,0.03,2000,0
my dressup,misc,oxygen interactive,2008,0.07,2000,0
my english coach para hispanoparlantes,misc,ubisoft,2009,0.08,2000,0
my farm around the world,simulation,atari,2008,0.12,2000,0
my fashion studio,misc,ubisoft,2007,0.45,2000,0
my first dollhouse,misc,505 games,2010,0.1,2010,0
my first songs,misc,mindscape,2010,0.08,2010,0
my fitness coach,sports,ubisoft,2008,2.34,2000,0
my fitness coach 2 exercise and nutrition,sports,black bean games,2009,0.2,2000,1
my fitness coach club,sports,ubisoft,2011,0.2,2010,0
my french coach,misc,ubisoft,2007,0.18,2000,0
my friends,misc,oxygen interactive,2009,0.08,2000,0
my frogger toy trials,action,konami digital entertainment,2006,0.03,2000,0
my fun facts coach,misc,ubisoft,2008,0.08,2000,0
my hero academia battle for all,action,namco bandai games,2016,0.03,2010,0
my hero doctor,action,majesco entertainment,2009,0.02,2000,0
my horse  me,sports,atari,2007,0.6799999999999999,2000,0
my horse  me riding for gold,sports,atari,2008,0.13,2000,0
my japanese coach,misc,ubisoft,2008,0.28,2000,0
my little baby,simulation,cdv software entertainment,2008,0.01,2000,0
my little pony pinkie pies party,adventure,thq,2008,0.78,2000,0
my little sister cant be this cute portable,action,namco bandai games,2012,0.11,2010,0
my makeup,misc,oxygen interactive,2008,0.09,2000,0
my pet chimp,simulation,505 games,2010,0.06,2010,0
my pet shop,simulation,square enix,2008,0.06,2000,0
my pet shop jp sales,simulation,square enix,2008,0.03,2000,0
my sat coach with the princeton review,misc,ubisoft,2008,0.11,2000,0
my secret world by imagine,misc,ubisoft,2008,0.2,2000,0
my spanish coach,misc,ubisoft,2007,0.5700000000000001,2000,0
my stop smoking coach allen carrs easyway,misc,ubisoft,2008,0.09,2000,0
my street,misc,sony computer entertainment,2003,0.24,2000,0
my virtual tutor reading adventure first to second grade,misc,mentor interactive,2009,0.41,2000,0
my virtual tutor reading adventure kindergarten to first,misc,mentor interactive,2009,0.27,2000,0
my virtual tutor reading adventure prek to kindergarten,misc,mentor interactive,2009,0.31,2000,0
my weight loss coach,sports,ubisoft,2008,0.96,2000,0
my word coach,misc,ubisoft,2007,1.96,2000,0
my world my way us sales,roleplaying,global a entertainment,2008,0.04,2000,0
myself yourself,adventure,yeti,2007,0.01,2000,0
mysims,simulation,electronic arts,2007,5.3999999999999995,2000,0
mysims agents,adventure,electronic arts,2009,2.13,2000,0
mysims collection,misc,electronic arts,2010,0.14,2010,0
mysims kingdom,simulation,electronic arts,2008,3.1100000000000003,2000,0
mysims party,simulation,electronic arts,2009,0.53,2000,0
mysims racing,racing,electronic arts,2009,1.1,2000,0
mysims skyheroes,action,electronic arts,2010,0.85,2010,0
myst,adventure,red orb,1994,3.06,1990,0
myst iii exile,adventure,ubisoft,2002,0.34,2000,1
myst iv revelation,adventure,ubisoft,2005,0.060000000000000005,2000,1
mystereet,adventure,yeti,2006,0.01,2000,0
mystery case files millionheir,adventure,nintendo,2008,1.29,2000,0
mystery case files ravenhearst,puzzle,focus home interactive,2007,0.03,2000,0
mystery case files the malgrave incident,adventure,nintendo,2011,0.39,2010,0
mystery dungeon shiren the wanderer,roleplaying,sega,2006,0.93,2000,0
mystery legends beauty and the beast,puzzle,focus multimedia,2012,0.01,2010,0
mystery pi  portrait of a thief,adventure,unknown,2008,0.11,2000,0
mystery stories curse of the ancient spirits,adventure,gsp,2011,0.1,2010,0
mystery tales 2 the spirit mask,puzzle,unknown,2011,0.02,2010,1
mystery tales of time travel,puzzle,foreign media games,2010,0.19,2010,0
mystery trackers the void,puzzle,focus home interactive,2011,0.03,2010,0
mystic ark,roleplaying,enix corporation,1995,0.13,1990,0
mystic heroes,action,tecmo koei,2002,0.15,2000,0
mystical ninja starring goemon,action,konami digital entertainment,1997,0.36,1990,0
myth makers orbs of doom,puzzle,popcorn arcade,2007,0.05,2000,0
myth makers super kart gp,racing,popcorn arcade,2007,0.02,2000,0
myth makers trixie in toyland,platform,popcorn arcade,2008,0.04,2000,0
mytran wars,strategy,deep silver,2009,0.12,2000,0
n,platform,atari,2007,0.1,2000,0
n2o nitrous oxide,racing,gremlin interactive ltd,1998,0.16,1990,0
n3 ii ninetynine nights,action,microsoft game studios,2010,0.17,2010,1
n3 ninetynine nights,action,microsoft game studios,2006,0.3,2000,0
nacho libre,action,majesco entertainment,2006,0.03,2000,0
nagano winter olympics 98,sports,konami digital entertainment,1997,0.45,1990,0
naild,racing,deep silver,2010,0.22,2010,0
nakayoshi allstars mezase gakuen idol,misc,creative core,2008,0.01,2000,0
namco classic fighter collection,fighting,namco bandai games,2008,0.16,2000,0
namco museum,misc,namco bandai games,2001,6.69,2000,0
namco museum 50th anniversary,misc,namco bandai games,2005,4.57,2000,0
namco museum 50th anniversary jp sales,misc,namco bandai games,2005,0.02,2000,0
namco museum 64,misc,namco bandai games,1999,1.45,1990,0
namco museum battle collection,misc,sony computer entertainment,2005,1.09,2000,0
namco museum battle collection jp sales,misc,sony computer entertainment,2005,0.02,2000,0
namco museum ds,misc,atari,2007,1.35,2000,0
namco museum megamix,misc,namco bandai games,2010,0.21,2010,0
namco museum remix,misc,atari,2007,0.74,2000,0
namco museum virtual arcade,misc,atari,2008,0.31,2000,0
namco museum vol1,misc,sony computer entertainment,1995,3.84,1990,0
namco museum vol2,misc,sony computer entertainment,1996,0.29,1990,0
namco museum vol3,misc,sony computer entertainment,1996,4.05,1990,0
namco museum vol4,misc,sony computer entertainment,1996,0.2,1990,0
namco museum vol5,misc,sony computer entertainment,1996,0.15,1990,0
namco soccer prime goal,sports,sony computer entertainment,1995,0.13,1990,0
namco tennis smash court,sports,sony computer entertainment,1995,0.24,1990,0
nana live staff daiboshuu shoshinsha kangei,action,konami digital entertainment,2007,0.02,2000,0
nanashi no game,adventure,square enix,2008,0.08,2000,0
nanashi no game me,action,square enix,2009,0.03,2000,0
nanatsuiro  drops pure,adventure,media works,2007,0.02,2000,0
nancy drew alibi in ashes,adventure,her interactive,2011,0.03,2010,0
nancy drew the hidden staircase,adventure,thq,2008,0.18,2000,0
nancy drew the model mysteries,puzzle,thq,2010,0.1,2010,0
nancy drew the mystery of the clue bender society,adventure,codemasters,2008,0.26,2000,0
nancy drew the white wolf of icicle creek,adventure,sega,2008,0.15,2000,0
nandas island,puzzle,phenomedia,2009,0.05,2000,0
nano assault,shooter,majesco entertainment,2011,0.08,2010,0
nano diver,action,takara tomy,2011,0.02,2010,0
nanobreaker,action,konami digital entertainment,2005,0.06,2000,0
nanostray,shooter,majesco entertainment,2005,0.06,2000,0
nanostray 2,shooter,codemasters,2008,0.05,2000,1
nanotek warrior,shooter,virgin interactive,1997,0.03,1990,0
napoleon dynamite the game,puzzle,crave entertainment,2007,0.07,2000,0
napoleon total war,strategy,sega,2010,0.66,2010,0
naraku no shiro,adventure,nippon ichi software,2008,0.01,2000,0
narc,shooter,midway games,2005,0.54,2000,0
narcissus moshimo ashita ga runara,adventure,kadokawa shoten,2010,0.02,2010,0
naruto clash of ninja,fighting,tomy corporation,2003,0.68,2000,0
naruto clash of ninja 2,fighting,nintendo,2003,1.04,2000,1
naruto clash of ninja jp sales,fighting,tomy corporation,2003,0.21,2000,0
naruto clash of ninja revolution,fighting,tomy corporation,2007,1.02,2000,0
naruto clash of ninja revolution 2,fighting,tomy corporation,2008,0.39,2000,1
naruto gekito ninja taisen 3,fighting,tomy corporation,2004,0.44,2000,1
naruto gekito ninja taisen 4,fighting,tomy corporation,2005,0.33,2000,1
naruto ninja council,action,tomy corporation,2003,0.22,2000,0
naruto ninja council 2 european version,fighting,tomy corporation,2005,0.23,2000,1
naruto ninja council 3,action,d3publisher,2006,0.42,2000,1
naruto ninja destiny,fighting,namco bandai games,2006,0.19,2000,0
naruto ninja destiny us sales,fighting,namco bandai games,2006,0.31,2000,0
naruto path of the ninja,roleplaying,d3publisher,2007,0.4,2000,0
naruto path of the ninja 2,roleplaying,takara tomy,2006,0.23,2000,1
naruto powerful shippuden,platform,namco bandai games,2012,0.15,2010,0
naruto rise of a ninja,action,ubisoft,2007,0.33,2000,0
naruto rpg 2 chidori vs rasengan,roleplaying,tomy corporation,2005,0.14,2000,1
naruto rpg 3 rejiuu vs konoha shoutai,roleplaying,takara tomy,2006,0.09,2000,1
naruto shippuden 3d the new era,action,505 games,2011,0.11,2010,0
naruto shippuden clash of ninja revolution 3,fighting,nintendo,2009,0.52,2000,1
naruto shippuden dairansen kage bunshin emaki,action,takara tomy,2008,0.04,2000,0
naruto shippuden dragon blade chronicles,action,505 games,2009,0.18,2000,0
naruto shippuden gekito ninja taisen ex,fighting,takara tomy,2007,0.1,2000,0
naruto shippuden gekito ninja taisen ex 2,fighting,takara tomy,2007,0.09,2000,1
naruto shippuden gekito ninja taisen ex 3,fighting,takara tomy,2008,0.07,2000,1
naruto shippuden gekito ninja taisen special,fighting,takara tomy,2010,0.06,2010,0
naruto shippuden kizuna drive,action,namco bandai games,2010,0.13,2010,0
naruto shippuden legends akatsuki rising,fighting,namco bandai games,2009,0.15,2000,0
naruto shippuden naruto vs sasuke,action,takara tomy,2008,0.11,2000,0
naruto shippuden ninja council 4,action,nintendo,2007,0.23,2000,1
naruto shippuden ninja destiny 2,fighting,takara tomy,2008,0.37,2000,1
naruto shippuden ninja destiny 3,fighting,d3publisher,2006,0.14,2000,1
naruto shippuden shinobi rumble,fighting,takara tomy,2010,0.08,2010,0
naruto shippuden ultimate ninja 4,fighting,atari,2007,0.66,2000,1
naruto shippuden ultimate ninja 5,fighting,namco bandai games,2007,0.17,2000,1
naruto shippuden ultimate ninja heroes 3,fighting,namco bandai games,2009,0.38,2000,1
naruto shippuden ultimate ninja impact,fighting,namco bandai games,2011,0.35,2010,0
naruto shippuden ultimate ninja storm 2,fighting,namco bandai games,2010,2.01,2010,1
naruto shippuden ultimate ninja storm 3,fighting,namco bandai games,2013,1.47,2010,1
naruto shippuden ultimate ninja storm 4,fighting,namco bandai games,2016,1.34,2010,1
naruto shippuden ultimate ninja storm collection,action,namco bandai games,2016,0.02,2010,0
naruto shippuden ultimate ninja storm generations,fighting,namco bandai games,2012,1.19,2010,0
naruto shippuden ultimate ninja storm revolution,fighting,namco bandai games,2014,0.7,2010,0
naruto shippuuden shinobi retsuden iii,action,takara tomy,2009,0.04,2000,1
naruto the broken bond,action,ubisoft,2008,0.59,2000,0
naruto ultimate collection,misc,namco bandai games,2008,0.11,2000,0
naruto ultimate ninja,fighting,atari,2003,0.61,2000,0
naruto ultimate ninja 2,fighting,namco bandai games,2004,0.57,2000,1
naruto ultimate ninja 3,fighting,atari,2005,0.44,2000,1
naruto ultimate ninja 3 jp sales,fighting,atari,2005,0.36,2000,1
naruto ultimate ninja heroes,fighting,namco bandai games,2006,0.26,2000,0
naruto ultimate ninja heroes 2  the phantom fortress,fighting,atari,2006,0.16,2000,1
naruto ultimate ninja heroes jp sales,fighting,namco bandai games,2006,0.06,2000,0
naruto ultimate ninja jp sales,fighting,atari,2003,0.32,2000,0
naruto ultimate ninja storm,fighting,namco bandai games,2008,1.08,2000,0
naruto uzumaki chronicles 2,action,namco bandai games,2006,0.58,2000,1
naruto uzumaki chronicles 2 jp sales,action,namco bandai games,2006,0.05,2000,1
nascar,racing,electronic arts,2006,0.1,2000,0
nascar 06 total team control,racing,electronic arts,2005,0.9,2000,0
nascar 07,racing,electronic arts,2006,0.15,2000,0
nascar 08,racing,electronic arts,2007,0.76,2000,0
nascar 09,racing,electronic arts,2008,1.04,2000,0
nascar 14,racing,deep silver,2014,0.26,2010,0
nascar 15,sports,deep silver,2015,0.17,2010,0
nascar 2000,racing,electronic arts,1999,2.12,1990,0
nascar 2001,racing,electronic arts,2000,1.51,2000,0
nascar 2005 chase for the cup,racing,electronic arts,2004,1.98,2000,0
nascar 2011 the game,racing,activision,2011,0.81,2010,0
nascar 98,racing,electronic arts,1996,1.52,1990,0
nascar 99,racing,electronic arts,1998,2.5,1990,0
nascar dirt to daytona,racing,infogrames,2002,0.09,2000,0
nascar heat,racing,hasbro interactive,2000,0.39,2000,0
nascar heat 2002,racing,infogrames,2001,0.96,2000,0
nascar heat evolution,racing,dusenberry martin racing,2016,0.05,2010,0
nascar kart racing,racing,electronic arts,2009,0.43,2000,0
nascar racing,racing,pioneer ldc,1996,0.41,1990,0
nascar rumble,racing,electronic arts,2000,0.56,2000,0
nascar the game inside line,racing,activision,2012,0.18,2010,0
nascar thunder 2002,racing,electronic arts,2001,1.91,2000,0
nascar thunder 2003,racing,electronic arts,2002,0.5800000000000001,2000,0
nascar thunder 2004,racing,electronic arts,2003,1.31,2000,0
nascar unleashed,racing,activision,2011,0.61,2010,0
natalie brooks mystery at hillcrest high,action,licensed 4u,2012,0.02,2010,0
natgeo challenge wild life,misc,black bean games,2010,0.17,2010,0
national geographic challenge,misc,black bean games,2011,0.16,2010,0
national geographic panda jp sales,simulation,ubisoft,2008,0.01,2000,0
national geographic panda us sales,simulation,ubisoft,2008,0.04,2000,0
natsuiro high school seishun hakusho,action,d3publisher,2015,0.04,2010,0
natsuiro no sunadokei,adventure,princess soft,2002,0.02,2000,0
natsuzora no monologue,adventure,otomate,2013,0.01,2010,0
natural doctrine,roleplaying,nippon ichi software,2014,0.23,2010,0
naughty bear,action,505 games,2010,0.85,2010,0
naval assault the killing tide,simulation,505 games,2010,0.17,2010,0
naval ops commander,simulation,tecmo koei,2004,0.05,2000,0
naval ops warship gunner,simulation,tecmo koei,2003,0.11,2000,0
naxat soft reachmania vol 1 cr galaxy angel,misc,naxat soft,2008,0.01,2000,0
nayuta no kiseki,action,nihon falcom corporation,2012,0.14,2010,0
nazo waku yakata oto no ma ni ma ni,misc,capcom,2011,0.05,2010,0
nazotoki battle tore densetsu no makyuu o fukkatsu saseyo,action,namco bandai games,2014,0.06,2010,0
nba,sports,sony computer entertainment,2005,0.21,2000,0
nba 06,sports,sony computer entertainment,2005,0.75,2000,0
nba 07,sports,sony computer entertainment,2006,0.48000000000000004,2000,0
nba 08,sports,sony computer entertainment,2007,0.29000000000000004,2000,0
nba 09 the inside,sports,sony computer entertainment,2008,0.49,2000,0
nba 10 the inside,sports,sony computer entertainment,2009,0.08,2000,0
nba 2k,sports,sega,1999,0.05,1990,0
nba 2k10,sports,taketwo interactive,2009,2.92,2000,0
nba 2k11,action,taketwo interactive,2010,5.42,2010,0
nba 2k12,sports,taketwo interactive,2011,5.53,2010,0
nba 2k13,sports,taketwo interactive,2012,6.1,2010,0
nba 2k14,sports,taketwo interactive,2013,6.72,2010,0
nba 2k15,sports,taketwo interactive,2014,7.06,2010,0
nba 2k16,sports,taketwo interactive,2015,8.03,2010,0
nba 2k17,sports,taketwo interactive,2016,1.93,2010,0
nba 2k2,sports,sega,2002,1.54,2000,0
nba 2k3,sports,sega,2002,1.53,2000,0
nba 2k6,action,taketwo interactive,2005,1.47,2000,0
nba 2k7,sports,taketwo interactive,2006,1.77,2000,0
nba 2k8,sports,taketwo interactive,2007,2.0,2000,0
nba 2k9,sports,taketwo interactive,2008,2.29,2000,0
nba ballers,sports,midway games,2004,2.17,2000,0
nba ballers chosen one,sports,midway games,2008,0.32,2000,0
nba ballers phenom,sports,midway games,2006,0.6,2000,0
nba ballers rebound,sports,midway games,2006,0.1,2000,0
nba courtside 2 featuring kobe bryant,sports,nintendo,1999,0.25,1990,1
nba courtside 2002,sports,nintendo,2002,0.25,2000,0
nba hangtime,sports,gt interactive,1997,0.6299999999999999,1990,0
nba hoopz,sports,midway games,2001,0.31,2000,0
nba in the zone,sports,konami digital entertainment,1995,0.28,1990,0
nba in the zone 2000,sports,konami digital entertainment,2000,0.25,2000,0
nba in the zone 98,sports,konami digital entertainment,1997,0.27,1990,0
nba in the zone 99,sports,konami digital entertainment,1998,0.04,1990,0
nba inside drive 2002,sports,microsoft game studios,2002,0.37,2000,0
nba inside drive 2003,sports,microsoft game studios,2002,0.31,2000,0
nba inside drive 2004,sports,microsoft game studios,2003,0.17,2000,0
nba jam,sports,arena entertainment,1992,5.22,1990,0
nba jam 2000,sports,acclaim entertainment,1999,0.13,1990,0
nba jam 2002,sports,acclaim entertainment,2002,0.11,2000,0
nba jam 99,sports,acclaim entertainment,1998,0.27,1990,0
nba jam extreme,sports,acclaim entertainment,1996,0.22,1990,0
nba jam tournament edition,sports,acclaim entertainment,1994,2.37,1990,0
nba live 06,sports,electronic arts,2005,1.68,2000,0
nba live 06 all region sales,sports,electronic arts,2005,1.64,2000,0
nba live 06 weekly american sales,sports,electronic arts,2005,1.42,2000,0
nba live 07,sports,electronic arts,2006,2.33,2000,0
nba live 08,sports,electronic arts,2007,2.37,2000,0
nba live 09,sports,electronic arts,2008,2.01,2000,0
nba live 09 allplay,sports,electronic arts,2008,0.22,2000,0
nba live 10,sports,electronic arts,2009,1.23,2000,0
nba live 14,sports,electronic arts,2013,0.41000000000000003,2010,0
nba live 15,sports,electronic arts,2014,0.43000000000000005,2010,0
nba live 16,sports,electronic arts,2015,0.27,2010,0
nba live 2000,sports,electronic arts,1998,1.96,1990,0
nba live 2001,sports,electronic arts,2000,2.35,2000,0
nba live 2002,sports,electronic arts,2001,2.7800000000000002,2000,0
nba live 2003,sports,electronic arts,2002,1.66,2000,0
nba live 2004,sports,electronic arts,2003,2.8099999999999996,2000,0
nba live 2005,sports,electronic arts,2004,3.94,2000,0
nba live 96,sports,electronic arts,1996,0.33,1990,0
nba live 97,sports,electronic arts,1996,1.0,1990,0
nba live 98,sports,electronic arts,1997,1.51,1990,0
nba live 99,sports,electronic arts,1997,1.69,1990,0
nba shootout,sports,sony computer entertainment,1995,0.31,1990,0
nba shootout 2000,sports,989 studios,1999,0.4,1990,0
nba shootout 2001,sports,sony computer entertainment,2000,0.42000000000000004,2000,0
nba shootout 2002,sports,sony computer entertainment,2001,0.14,2000,0
nba shootout 2003,sports,sony computer entertainment,2002,0.23,2000,0
nba shootout 2004,sports,sony computer entertainment,2003,0.26,2000,0
nba shootout 97,sports,sony computer entertainment,1997,0.62,1990,0
nba shootout 98,sports,sony computer entertainment,1998,0.78,1990,0
nba showtime nba on nbc,sports,midway games,1999,0.8,1990,0
nba starting five,sports,konami digital entertainment,2002,0.02,2000,0
nba street,sports,electronic arts,2001,3.21,2000,0
nba street homecourt,sports,electronic arts,2007,0.65,2000,0
nba street showdown,sports,electronic arts,2005,0.23,2000,0
nba street v3,sports,electronic arts,2005,1.67,2000,0
nba street vol 2,sports,electronic arts,2003,2.63,2000,1
ncaa basketball 09,sports,electronic arts,2008,0.67,2000,0
ncaa basketball 10,sports,electronic arts,2009,0.65,2000,0
ncaa basketball final four 97,sports,mindscape,1997,0.14,1990,0
ncaa college basketball 2k3,sports,sega,2002,0.38,2000,0
ncaa college football 2k3,sports,sega,2002,0.07,2000,0
ncaa final four 2000,sports,989 sports,1999,0.38,1990,0
ncaa final four 2001,sports,sony computer entertainment,2000,0.35,2000,0
ncaa final four 2002,sports,sony computer entertainment,2001,0.31,2000,0
ncaa final four 2003,sports,sony computer entertainment,2002,0.19,2000,0
ncaa final four 2004,sports,sony computer entertainment,2003,0.2,2000,0
ncaa football 06,sports,electronic arts,2005,2.81,2000,0
ncaa football 07,sports,electronic arts,2006,3.36,2000,0
ncaa football 08,sports,electronic arts,2007,1.95,2000,0
ncaa football 09,sports,electronic arts,2008,2.0,2000,0
ncaa football 09 allplay,sports,electronic arts,2008,0.17,2000,0
ncaa football 10,sports,electronic arts,2009,2.54,2000,0
ncaa football 11,sports,electronic arts,2010,2.14,2010,0
ncaa football 12,sports,electronic arts,2011,1.8199999999999998,2010,0
ncaa football 13,action,electronic arts,2012,1.9500000000000002,2010,0
ncaa football 14,sports,electronic arts,2013,1.87,2010,0
ncaa football 2000,sports,electronic arts,1999,0.95,1990,0
ncaa football 2001,sports,electronic arts,2000,0.7,2000,0
ncaa football 2002,sports,electronic arts,2001,1.57,2000,0
ncaa football 2003,sports,electronic arts,2002,2.17,2000,0
ncaa football 2004,sports,electronic arts,2003,2.25,2000,0
ncaa football 2005,sports,electronic arts,2004,2.52,2000,0
ncaa football 98,sports,electronic arts,1997,0.7,1990,0
ncaa football 99,sports,electronic arts,1998,1.06,1990,0
ncaa gamebreaker,sports,sony computer entertainment,1996,0.26,1990,0
ncaa gamebreaker 2000,sports,989 studios,1999,0.4,1990,0
ncaa gamebreaker 2001,sports,sony computer entertainment,2000,0.48,2000,0
ncaa gamebreaker 2003,sports,sony computer entertainment,2002,0.23,2000,0
ncaa gamebreaker 2004,sports,sony computer entertainment,2003,0.23,2000,0
ncaa gamebreaker 99,sports,989 studios,1998,0.45,1990,0
ncaa march madness 06,sports,electronic arts,2005,0.73,2000,0
ncaa march madness 07,sports,electronic arts,2007,0.77,2000,0
ncaa march madness 08,sports,electronic arts,2007,0.56,2000,0
ncaa march madness 2003,sports,electronic arts,2002,0.66,2000,0
ncaa march madness 2004,sports,electronic arts,2003,1.27,2000,0
ncaa march madness 2005,sports,electronic arts,2004,0.81,2000,0
ncis,adventure,ubisoft,2011,0.45,2010,0
ncis 3d,adventure,ubisoft,2011,0.11,2010,0
nectaris military madness,strategy,hudson soft,1998,0.03,1990,0
need for speed 2015,racing,electronic arts,2015,3.1,2010,0
need for speed carbon,racing,electronic arts,2006,6.42,2000,0
need for speed carbon own the city,racing,electronic arts,2006,2.65,2000,0
need for speed high stakes,racing,electronic arts,1999,2.31,1990,0
need for speed hot pursuit,racing,electronic arts,2010,5.890000000000001,2010,0
need for speed hot pursuit 2,racing,electronic arts,2002,3.73,2000,1
need for speed iii hot pursuit,racing,electronic arts,1998,3.12,1990,1
need for speed most wanted,racing,electronic arts,2005,12.71,2000,0
need for speed most wanted 510,racing,electronic arts,2005,2.1,2000,0
need for speed nitro,racing,electronic arts,2009,1.24,2000,0
need for speed porsche unleashed,racing,electronic arts,1999,1.25,1990,0
need for speed prostreet,racing,electronic arts,2007,8.58,2000,0
need for speed rivals,racing,electronic arts,2013,5.109999999999999,2010,0
need for speed shift,racing,electronic arts,2009,5.42,2000,0
need for speed shift 2 unleashed,racing,electronic arts,2011,1.3199999999999998,2010,1
need for speed the run,action,electronic arts,2011,4.27,2010,0
need for speed undercover,racing,electronic arts,2008,6.92,2000,0
need for speed underground,racing,electronic arts,2003,10.46,2000,0
need for speed underground 2,racing,electronic arts,2004,10.97,2000,1
need for speed underground rivals,racing,electronic arts,2005,1.32,2000,0
need for speed vrally,racing,infogrames,1997,0.87,1990,0
negima 3jikanme koi to mahou to sekaiju densetsu,adventure,konami digital entertainment,2006,0.04,2000,0
negima chou mahora taisen chuu checkiin zenin shuugou yappari onsen kichaimashitaa,adventure,marvelous interactive,2007,0.02,2000,0
negima chou mahora taisen kattoiin keiyaku shikkou dechai masuu,adventure,marvelous interactive,2006,0.04,2000,0
negima dream tactic yumemiru otome princess,strategy,konami digital entertainment,2007,0.03,2000,0
neighborhood games,misc,thq,2009,0.2,2000,0
nekketsu kouha kuniokun sp rantou kyousoukyoku,fighting,arc system works,2013,0.03,2010,0
nendoroid generation,roleplaying,namco bandai games,2012,0.06,2010,0
neo angelique,adventure,tecmo koei,2006,0.02,2000,0
neo angelique special,adventure,tecmo koei,2008,0.01,2000,0
neo atlas,strategy,artdink,1998,0.09,1990,0
neo contra,shooter,konami digital entertainment,2004,0.21,2000,0
neogeo battle coliseum,fighting,ignition entertainment,2005,0.33,2000,0
neon genesis evangelion,adventure,sega,1996,0.5,1990,0
neon genesis evangelion 2nd impression,roleplaying,sega,1997,0.42,1990,0
neopets petpet adventures the wand of wishing,adventure,sony computer entertainment,2006,0.12,2000,0
neopets puzzle adventure,puzzle,capcom,2008,0.52,2000,0
neopets the darkest faerie,adventure,sony computer entertainment,2005,0.3,2000,0
nep league ds,sports,jaleco,2007,0.18,2000,0
nerf nstrike,shooter,electronic arts,2008,1.1,2000,0
nerf nstrike double blast bundle,shooter,electronic arts,2010,0.09,2010,0
nerf nstrike elite,shooter,electronic arts,2009,1.0,2000,0
